C:\Users\VideoSample.mp4
Duration(s): 17.26667 | Frame count: 519 | Initial Frame: 1 | Rotation: 0°

Applied Parameters
Gray Scale - Minor: 100 | Major: 255 | CannyThreshold: 40 | ThresholdLinking: 20
Image treatment: Blur | P.S.: Not applicable if no image treatment was used.
Blur - Width: 5 | Height: 5 | Size Median: 5 | kGauss: 5
Calibration Index: 250 | Factor: 5
PosTime	FrameNo	iniX (px)	iniY (px)	Height (nm)	Width (nm)	Ret. Area (nm2)	Elip. Area (nm2)	Height (px)	Width (px)	Ret. Area (px2)	Elip. Area (px2)
33.26911	0	9	7	0.988	1.9	469.3	368.588	247	475	117325	92147
66.53821	1	8	8	0.984	1.904	468.384	367.868	246	476	117096	91967
99.80732	2	8	8	0.984	1.904	468.384	367.868	246	476	117096	91967
133.07643	3	3	3	1.016	1.924	488.696	383.82	254	481	122174	95955
166.34554	4	3	3	1.016	1.924	488.696	383.82	254	481	122174	95955
199.61464	5	3	3	1.016	1.924	488.696	383.82	254	481	122174	95955
232.88375	6	3	3	1.044	1.924	502.164	394.4	261	481	125541	98600
266.15286	7	3	4	1.04	1.924	500.24	392.888	260	481	125060	98222
299.42197	8	3	4	1.04	1.924	500.24	392.888	260	481	125060	98222
332.69107	9	7	3	1.04	1.932	502.32	394.52	260	483	125580	98630
365.96018	10	3	4	1.036	1.948	504.532	396.26	259	487	126133	99065
399.22929	11	3	4	1.036	1.952	505.568	397.072	259	488	126392	99268
432.49839	12	7	3	1.04	1.932	502.32	394.52	260	483	125580	98630
465.7675	13	3	3	1.008	1.924	484.848	380.8	252	481	121212	95200
499.03661	14	3	3	1.008	1.924	484.848	380.8	252	481	121212	95200
532.30572	15	3	3	1.008	1.924	484.848	380.8	252	481	121212	95200
565.57482	16	3	3	1.008	1.924	484.848	380.8	252	481	121212	95200
598.84393	17	3	3	1.028	1.924	494.468	388.356	257	481	123617	97089
632.11304	18	3	4	1.024	1.924	492.544	386.844	256	481	123136	96711
665.38215	19	3	4	1.024	1.924	492.544	386.844	256	481	123136	96711
698.65125	20	3	4	1.024	1.924	492.544	386.844	256	481	123136	96711
731.92036	21	3	6	1.016	1.932	490.728	385.416	254	483	122682	96354
765.18947	22	3	5	1.008	1.932	486.864	382.384	252	483	121716	95596
798.45857	23	3	5	1.008	1.92	483.84	380.008	252	480	120960	95002
831.72768	24	3	6	1.004	1.924	482.924	379.288	251	481	120731	94822
864.99679	25	3	3	1.032	1.944	501.552	393.92	258	486	125388	98480
898.2659	26	3	3	1.032	1.944	501.552	393.92	258	486	125388	98480
931.535	27	3	3	1.032	1.944	501.552	393.92	258	486	125388	98480
964.80411	28	3	3	1.032	1.944	501.552	393.92	258	486	125388	98480
998.07322	29	3	3	1.016	1.944	493.776	387.812	254	486	123444	96953
1031.34232	30	3	3	1.016	1.944	493.776	387.812	254	486	123444	96953
1064.61143	31	16	3	1.04	1.84	478.4	375.736	260	460	119600	93934
1097.88054	32	28	0	1.052	1.716	451.308	354.456	263	429	112827	88614
1131.14965	33	30	0	1.096	1.692	463.608	364.116	274	423	115902	91029
1164.41875	34	35	0	1.104	1.664	459.264	360.704	276	416	114816	90176
1197.68786	35	38	0	1.112	1.652	459.256	360.7	278	413	114814	90175
1230.95697	36	38	0	1.092	1.652	450.996	354.212	273	413	112749	88553
1264.22608	37	40	0	1.124	1.656	465.336	365.476	281	414	116334	91369
1297.49518	38	36	0	1.112	1.684	468.152	367.684	278	421	117038	91921
1330.76429	39	29	0	1.128	1.772	499.704	392.468	282	443	124926	98117
1364.0334	40	23	3	1.04	1.836	477.36	374.916	260	459	119340	93729
1397.3025	41	13	7	1.024	1.912	489.472	384.432	256	478	122368	96108
1430.57161	42	8	7	1.012	1.912	483.736	379.924	253	478	120934	94981
1463.84072	43	6	5	1.016	1.948	494.792	388.608	254	487	123698	97152
1497.10983	44	7	9	1	1.924	481	377.776	250	481	120250	94444
1530.37893	45	3	6	1.02	1.928	491.64	386.132	255	482	122910	96533
1563.64804	46	3	6	1.02	1.928	491.64	386.132	255	482	122910	96533
1596.91715	47	5	8	0.996	1.92	478.08	375.484	249	480	119520	93871
1630.18626	48	5	8	1	1.928	482	378.56	250	482	120500	94640
1663.45536	49	3	4	1.016	1.928	489.712	384.62	254	482	122428	96155
1696.72447	50	3	4	1.016	1.928	489.712	384.62	254	482	122428	96155
1729.99358	51	3	4	1.016	1.928	489.712	384.62	254	482	122428	96155
1763.26268	52	3	4	1.016	1.928	489.712	384.62	254	482	122428	96155
1796.53179	53	3	4	1.012	1.928	487.784	383.104	253	482	121946	95776
